epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5144,1.44549,1.42611,0.00271,0.9523,0.9914,0.96247,0.60996,1.31003,0.6009,0.00297,0.000654088,0.000654088,0.000654088
2,49.4118,1.3172,0.53156,0.00249,0.95156,0.97163,0.95132,0.70218,0.96112,0.34125,0.00221,0.00130441,0.00130441,0.00130441
3,65.7826,1.3802,0.50251,0.0024,0.95096,0.94516,0.95148,0.65749,1.05281,0.40061,0.0025,0.00193823,0.00193823,0.00193823
4,87.9953,1.28943,0.45015,0.00228,0.9148,0.95699,0.94789,0.74952,0.82448,0.39923,0.0019,0.00192575,0.00192575,0.00192575
5,107.131,1.27898,0.44,0.00234,0.95646,0.97634,0.95954,0.74263,0.85772,0.31591,0.00204,0.001901,0.001901,0.001901
6,123.649,1.24698,0.42918,0.00225,0.94365,0.99045,0.95867,0.74908,0.89425,0.29717,0.00206,0.00187625,0.00187625,0.00187625
7,147.76,1.28989,0.44724,0.00231,0.93834,0.96559,0.96677,0.73837,0.96303,0.41536,0.00222,0.0018515,0.0018515,0.0018515
8,163.943,1.24123,0.42994,0.00233,0.95615,0.98467,0.97083,0.76195,0.84581,0.28935,0.00198,0.00182675,0.00182675,0.00182675
9,179.972,1.29793,0.41689,0.00232,0.95636,0.98975,0.97506,0.73183,0.92619,0.29349,0.00214,0.001802,0.001802,0.001802
10,197.077,1.21444,0.40681,0.00224,0.95197,0.98387,0.97829,0.74103,0.92723,0.30846,0.00206,0.00177725,0.00177725,0.00177725
11,214.899,1.13832,0.39317,0.00217,0.9551,0.98358,0.98018,0.79088,0.71692,0.25182,0.00168,0.0017525,0.0017525,0.0017525
12,231.215,1.19825,0.40469,0.00216,0.95435,0.989,0.9538,0.60345,1.38167,0.38839,0.00302,0.00172775,0.00172775,0.00172775
13,247.191,1.18963,0.3928,0.00218,0.9521,0.98307,0.96393,0.78642,0.77746,0.26391,0.00179,0.001703,0.001703,0.001703
14,263.07,1.16567,0.38951,0.00208,0.95513,0.9842,0.96485,0.75478,0.82278,0.27933,0.00198,0.00167825,0.00167825,0.00167825
15,279.211,1.21827,0.40093,0.0021,0.95919,0.97312,0.96803,0.76977,0.76503,0.27148,0.00174,0.0016535,0.0016535,0.0016535
16,295.417,1.16686,0.37482,0.00205,0.95448,0.99195,0.97095,0.73074,0.92595,0.28629,0.00207,0.00162875,0.00162875,0.00162875
17,311.32,1.14433,0.37825,0.00216,0.9543,0.98787,0.97922,0.78152,0.84824,0.30068,0.00197,0.001604,0.001604,0.001604
18,327.65,1.17718,0.38104,0.00208,0.95858,0.98817,0.95661,0.77845,0.75805,0.25354,0.00168,0.00157925,0.00157925,0.00157925
19,343.97,1.11528,0.35942,0.00195,0.95399,0.98089,0.96262,0.76559,0.81702,0.27434,0.00183,0.0015545,0.0015545,0.0015545
20,360.427,1.10559,0.36915,0.00206,0.95378,0.9914,0.95743,0.77922,0.74047,0.24879,0.0017,0.00152975,0.00152975,0.00152975
21,376.685,1.12316,0.36321,0.00188,0.95397,0.98043,0.96674,0.75899,0.8353,0.28683,0.00201,0.001505,0.001505,0.001505
22,392.88,1.13623,0.36653,0.00201,0.95444,0.9912,0.96329,0.77156,0.8032,0.25536,0.00189,0.00148025,0.00148025,0.00148025
23,409.058,1.06332,0.34582,0.00189,0.95821,0.98172,0.9707,0.77067,0.84336,0.26739,0.0019,0.0014555,0.0014555,0.0014555
