epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1852,1.53855,10.3935,0.0134,0.22801,0.15385,0.08063,0.05192,1.37064,12.3244,0.01484,0.0001,0.0001,0.0001
2,14.7926,1.20296,7.74502,0.01178,0.64431,0.69699,0.76626,0.49473,1.14536,9.66635,0.0126,0.000215644,0.000215644,0.000215644
3,18.0411,1.12885,8.17801,0.01086,0.57359,0.51867,0.68249,0.46855,1.05887,9.87641,0.01187,0.000326536,0.000326536,0.000326536
4,20.9168,1.38467,7.65788,0.01502,0.92808,0.99313,0.97357,0.63457,1.28976,8.7358,0.01475,0.000432676,0.000432676,0.000432676
5,24.4645,1.10715,6.18997,0.00992,0.89486,0.76923,0.88737,0.55216,1.2987,8.3821,0.01491,0.000534064,0.000534064,0.000534064
6,27.2066,1.19318,5.32679,0.01156,0.88748,0.6076,0.74406,0.47728,1.29531,6.81826,0.01433,0.0006307,0.0006307,0.0006307
7,29.8931,1.3966,4.45018,0.01268,0.82253,0.69231,0.82054,0.56339,1.02645,5.35696,0.01176,0.000722584,0.000722584,0.000722584
8,32.7619,1.30437,3.98614,0.01224,0.82253,0.69231,0.82054,0.56339,1.02645,5.35696,0.01176,0.000809716,0.000809716,0.000809716
9,35.3977,1.31588,4.16512,0.01328,1,0.37665,0.53102,0.37801,1.11389,4.34499,0.01243,0.000892096,0.000892096,0.000892096
10,37.9931,1.25103,3.70983,0.01293,0.99239,0.92308,0.9705,0.62136,1.36877,2.49041,0.01636,0.000969724,0.000969724,0.000969724
11,40.5136,1.30261,3.10995,0.0127,0.99239,0.92308,0.9705,0.62136,1.36877,2.49041,0.01636,0.0010426,0.0010426,0.0010426
12,43.131,1.34155,3.02193,0.01469,0.92208,0.91108,0.97336,0.56141,1.43309,2.3991,0.01644,0.00111072,0.00111072,0.00111072
13,45.812,1.30894,2.57959,0.01098,0.92208,0.91108,0.97336,0.56141,1.43309,2.3991,0.01644,0.0011741,0.0011741,0.0011741
14,48.3416,1.39555,2.84736,0.01333,0.92208,0.91108,0.97336,0.56141,1.43309,2.3991,0.01644,0.00123272,0.00123272,0.00123272
15,50.8768,1.34141,2.57203,0.01309,0.97683,0.92308,0.95638,0.53169,1.52147,1.98667,0.01628,0.00128658,0.00128658,0.00128658
16,53.3907,1.44081,2.30589,0.01601,0.97683,0.92308,0.95638,0.53169,1.52147,1.98667,0.01628,0.0013357,0.0013357,0.0013357
17,55.9753,1.53176,1.81261,0.01307,0.85937,0.94111,0.95567,0.60676,1.46667,1.66004,0.01789,0.0013664,0.0013664,0.0013664
18,58.7606,1.2869,1.72611,0.01372,0.85937,0.94111,0.95567,0.60676,1.46667,1.66004,0.01789,0.0013268,0.0013268,0.0013268
19,61.2757,1.36481,1.64339,0.01353,0.85937,0.94111,0.95567,0.60676,1.46667,1.66004,0.01789,0.0012872,0.0012872,0.0012872
20,63.7524,1.27489,1.84937,0.01109,0.80524,0.46154,0.61751,0.40403,1.1214,2.72754,0.01278,0.0012476,0.0012476,0.0012476
21,66.3048,1.37728,1.55404,0.01395,0.80524,0.46154,0.61751,0.40403,1.1214,2.72754,0.01278,0.001208,0.001208,0.001208
22,68.8568,1.36456,1.44619,0.01511,0.80524,0.46154,0.61751,0.40403,1.1214,2.72754,0.01278,0.0011684,0.0011684,0.0011684
23,71.6913,1.0497,1.2168,0.00909,0.70135,0.90412,0.86444,0.63442,1.15728,1.80129,0.01301,0.0011288,0.0011288,0.0011288
24,74.2393,1.13447,1.67525,0.01217,0.70135,0.90412,0.86444,0.63442,1.15728,1.80129,0.01301,0.0010892,0.0010892,0.0010892
25,77.029,1.22212,1.23056,0.01042,0.85461,0.90533,0.87976,0.62514,1.16979,1.25589,0.01324,0.0010496,0.0010496,0.0010496
26,79.6834,0.99882,0.96438,0.01186,0.85461,0.90533,0.87976,0.62514,1.16979,1.25589,0.01324,0.00101,0.00101,0.00101
27,82.1994,1.31326,1.40059,0.01204,0.85461,0.90533,0.87976,0.62514,1.16979,1.25589,0.01324,0.0009704,0.0009704,0.0009704
28,84.8095,1.28561,1.18511,0.01176,0.79198,0.8799,0.88808,0.62498,1.09666,1.22174,0.01192,0.0009308,0.0009308,0.0009308
29,87.6814,1.24415,1.04552,0.01105,0.79198,0.8799,0.88808,0.62498,1.09666,1.22174,0.01192,0.0008912,0.0008912,0.0008912
30,90.159,1.25884,1.00426,0.01317,0.79198,0.8799,0.88808,0.62498,1.09666,1.22174,0.01192,0.0008516,0.0008516,0.0008516
31,92.8483,1.2102,1.02959,0.01187,0.9794,0.92308,0.97853,0.75613,0.90225,0.7043,0.00974,0.000812,0.000812,0.000812
32,95.5187,1.24408,1.06715,0.0108,0.9794,0.92308,0.97853,0.75613,0.90225,0.7043,0.00974,0.0007724,0.0007724,0.0007724
33,98.301,1.2007,0.73601,0.0099,1,0.9175,0.97556,0.7413,0.95683,0.57028,0.01068,0.0007328,0.0007328,0.0007328
34,100.884,1.12584,1.15408,0.01004,1,0.9175,0.97556,0.7413,0.95683,0.57028,0.01068,0.0006932,0.0006932,0.0006932
35,103.543,1.28265,1.10494,0.01122,1,0.9175,0.97556,0.7413,0.95683,0.57028,0.01068,0.0006536,0.0006536,0.0006536
36,106.226,1.1344,0.88017,0.0106,0.94222,0.92308,0.97853,0.7113,0.95679,0.55319,0.01073,0.000614,0.000614,0.000614
37,108.87,1.01375,0.88267,0.00956,0.94222,0.92308,0.97853,0.7113,0.95679,0.55319,0.01073,0.0005744,0.0005744,0.0005744
38,111.391,1.16591,1.02831,0.01086,0.94222,0.92308,0.97853,0.7113,0.95679,0.55319,0.01073,0.0005348,0.0005348,0.0005348
39,113.97,1.12234,0.86534,0.01206,0.99056,0.92308,0.97853,0.73359,0.94488,0.50777,0.01058,0.0004952,0.0004952,0.0004952
40,116.472,1.14522,1.00341,0.01196,0.99056,0.92308,0.97853,0.73359,0.94488,0.50777,0.01058,0.0004556,0.0004556,0.0004556
41,119.04,1.05276,0.82481,0.01278,0.98272,0.92308,0.99,0.73667,0.97829,0.48731,0.01096,0.000416,0.000416,0.000416
42,121.53,1.08877,0.75501,0.01294,0.98272,0.92308,0.99,0.73667,0.97829,0.48731,0.01096,0.0003764,0.0003764,0.0003764
43,124.088,0.99061,0.83991,0.01024,0.98272,0.92308,0.99,0.73667,0.97829,0.48731,0.01096,0.0003368,0.0003368,0.0003368
44,126.754,1.04065,0.71775,0.01127,1,0.988,0.995,0.74137,1.00828,0.44302,0.01126,0.0002972,0.0002972,0.0002972
45,129.286,1.09651,0.869,0.01423,1,0.988,0.995,0.74137,1.00828,0.44302,0.01126,0.0002576,0.0002576,0.0002576
46,131.958,1.10282,0.76776,0.01303,1,0.988,0.995,0.74137,1.00828,0.44302,0.01126,0.000218,0.000218,0.000218
47,134.526,1.02665,0.69132,0.0119,0.93571,0.92308,0.99,0.74301,1.00328,0.42291,0.01112,0.0001784,0.0001784,0.0001784
48,137.163,0.96808,0.76435,0.012,0.93571,0.92308,0.99,0.74301,1.00328,0.42291,0.01112,0.0001388,0.0001388,0.0001388
49,139.769,1.029,0.72541,0.01295,0.8606,0.95103,0.97951,0.74155,1.01822,0.40811,0.01127,9.92e-05,9.92e-05,9.92e-05
50,142.253,1.04179,0.76237,0.01213,0.8606,0.95103,0.97951,0.74155,1.01822,0.40811,0.01127,5.96e-05,5.96e-05,5.96e-05
